Year,Multi_short,ODA,Share,full name,Donor
2019,IDA,316.97,0.66%,International Development Association ,Sweden
2019,European Commission - Development Share of Budget,280.34,0.58%,European Commission - Development Share of Budget,Sweden
2019,European Commission - European Development Fund,158.71,0.33%,European Commission - European Development Fund,Sweden
2019,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",93.86,0.2%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Sweden
2019,United Nations Office of the High Commissioner for Refugees,86.46,0.18%,United Nations Office of the High Commissioner for Refugees,Sweden
2019,ADF,85.54,0.18%,African Development Fund ,Sweden
2019,WFP,75.53,0.16%,World Food Programme ,Sweden
2019,UNDP,69.56,0.15%,United Nations Development Programme ,Sweden
2019,CERF,69.12,0.14%,Central Emergency Response Fund,Sweden
2019,IFAD,66.25,0.14%,International Fund for Agricultural Development ,Sweden
2019,UNICEF,64.6,0.13%,United Nations Children's Fund ,Sweden
2019,UNFPA,61.28,0.13%,United Nations Population Fund ,Sweden
2019,UNRWA,46.71,0.1%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Sweden
2019,Joint United Nations Programme on HIV/AIDS ,34.67,0.07%,Joint United Nations Programme on HIV/AIDS ,Sweden
2019,GAVI,33.13,0.07%,Global Alliance for Vaccines and Immunization ,Sweden
2019,AIIB,21.42,0.04%,Asian Infrastructure Investment Bank,Sweden
2019,United Nations Peacebuilding Fund,20.98,0.04%,United Nations Peacebuilding Fund,Sweden
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,20.98,0.04%,United Nations Office of Co-ordination of Humanitarian Affairs ,Sweden
2019,World Health Organisation - core voluntary contributions account,17.67,0.04%,World Health Organisation - core voluntary contributions account,Sweden
2019,IBRD,15.31,0.03%,International Bank for Reconstruction and Development ,Sweden
2019,AF,14.35,0.03%,Adaptation Fund,Sweden
2019,Global Environment Facility - Least Developed Countries Fund,14.35,0.03%,Global Environment Facility - Least Developed Countries Fund,Sweden
2019,United Nations Entity for Gender Equality and the Empowerment of Women,13.36,0.03%,United Nations Entity for Gender Equality and the Empowerment of Women,Sweden
2019,UN,13.32,0.03%,United Nations,Sweden
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",13.09,0.03%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Sweden
2019,International Organisation for Migration ,11.59,0.02%,International Organisation for Migration ,Sweden
2019,Asian Development Fund ,11.04,0.02%,Asian Development Fund ,Sweden
2019,United Nations Office on Drugs and Crime ,8.61,0.02%,United Nations Office on Drugs and Crime ,Sweden
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),7.18,0.01%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Sweden
2019,Organization for Security and Co-operation in Europe,6.15,0.01%,Organization for Security and Co-operation in Europe,Sweden
2019,International Institute for Democracy and Electoral Assistance ,6.07,0.01%,International Institute for Democracy and Electoral Assistance ,Sweden
2019,UNEP,5.29,0.01%,United Nations Environment Programme ,Sweden
2019,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",5.21,0.01%,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",Sweden
2019,United Nations Office for Disaster Risk Reduction,4.42,0.01%,United Nations Office for Disaster Risk Reduction,Sweden
2019,UNCDF,3.86,0.01%,United Nations Capital Development Fund ,Sweden
